Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
782,Kolten Wong,MIL,134,430,65,108,24,4,15,47,17,6,46,88,14,5,2,wongko01
783,Austin Wynns,SFG,65,162,14,42,7,0,3,21,0,0,10,38,3,1,0,wynnsau01
784,Mike Yastrzemski,SFG,148,485,73,104,31,2,17,57,5,1,61,141,5,6,0,yastrmi01
785,Christian Yelich,MIL,154,575,99,145,25,4,14,57,19,3,88,162,5,2,5,yelicch01
786,Juan Yepez,STL,76,253,27,64,13,0,12,30,0,0,16,61,1,4,0,yepezju01
787,Jared Young,CHC,6,19,2,5,2,0,0,0,1,0,3,7,0,0,0,youngja02
788,Seby Zavala,CHW,61,178,22,48,14,0,2,21,0,0,19,64,3,2,0,zavalse01
789,Bradley Zimmer,TOT,109,105,18,13,5,0,2,5,3,2,5,45,6,0,0,zimmebr01
790,Mike Zunino,TBR,36,115,7,17,3,0,5,16,0,0,6,46,1,1,0,zuninmi01
791,LgAvg per 600 PA,,168,539,68,130,26,2,17,65,8,3,49,136,7,4,2,-9999
